day,hour,value,metric,is_idle_business
Thursday,17:00:00,19.5,completed,False
Thursday,18:00:00,7.800000000000001,completed,False
Thursday,19:00:00,2.6,completed,False
Thursday,20:00:00,2.6,completed,False
Thursday,21:00:00,1.3,completed,False
Thursday,22:00:00,1.3,completed,False
Thursday,will call,0.0,completed,False
Friday,00:00:00,0.0,completed,False
Friday,01:00:00,0.0,completed,False
Friday,02:00:00,0.0,completed,False
Friday,03:00:00,0.0,completed,False
Friday,04:00:00,0.0,completed,False
Friday,05:00:00,22.1,completed,False
Friday,06:00:00,44.2,completed,False
Friday,07:00:00,35.1,completed,False
Friday,08:00:00,58.5,completed,False
Friday,09:00:00,122.2,completed,False
Friday,10:00:00,122.2,completed,False
Friday,11:00:00,126.10000000000001,completed,False
Friday,12:00:00,136.5,completed,False
Friday,13:00:00,100.10000000000001,completed,False
Friday,14:00:00,98.8,completed,False
Friday,15:00:00,114.4,completed,False
Friday,16:00:00,36.4,completed,False
Friday,17:00:00,16.900000000000002,completed,False
Friday,18:00:00,1.3,completed,False
Friday,19:00:00,2.6,completed,False
Friday,20:00:00,1.3,completed,False
Friday,21:00:00,3.9000000000000004,completed,False
Friday,22:00:00,0.0,completed,False
Friday,will call,0.0,completed,False
Saturday,00:00:00,0.0,completed,False
Saturday,01:00:00,0.0,completed,False
Saturday,02:00:00,0.0,completed,False
Saturday,03:00:00,0.0,completed,False
Saturday,04:00:00,1.3,completed,False
Saturday,05:00:00,14.3,completed,False
Saturday,06:00:00,10.4,completed,False
Saturday,07:00:00,2.6,completed,False
Saturday,08:00:00,5.2,completed,False
Saturday,09:00:00,7.800000000000001,completed,False
Saturday,10:00:00,18.2,completed,False
Saturday,11:00:00,20.8,completed,False
Saturday,12:00:00,9.1,completed,False
Saturday,13:00:00,2.6,completed,False
Saturday,14:00:00,19.5,completed,False
Saturday,15:00:00,16.900000000000002,completed,False
Saturday,16:00:00,3.9000000000000004,completed,False
Saturday,17:00:00,7.800000000000001,completed,False
Saturday,18:00:00,0.0,completed,True
Saturday,19:00:00,0.0,completed,True
Saturday,20:00:00,0.0,completed,False
Saturday,21:00:00,1.3,completed,False
Saturday,22:00:00,0.0,completed,False
Saturday,will call,0.0,completed,False
Total,00:00:00,2.6,completed,False
Total,01:00:00,0.0,completed,False
Total,02:00:00,0.0,completed,False
Total,03:00:00,0.0,completed,False
Total,04:00:00,3.9000000000000004,completed,False
Total,05:00:00,122.2,completed,False
Total,06:00:00,193.70000000000002,completed,False
Total,07:00:00,182.0,completed,False
Total,08:00:00,327.59999999999997,completed,False
Total,09:00:00,651.3,completed,False
Total,10:00:00,635.7,completed,False
Total,11:00:00,661.6999999999999,completed,False
