variant,threshold,accuracy,f1,roc_auc,sensitivity,specificity,ppv,npv,balanced_accuracy,false_ready_rate,missed_ready_rate
baseline,0.3100000000000001,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.3200000000000001,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.3300000000000001,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.34000000000000014,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.35000000000000014,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.36000000000000015,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.37000000000000016,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.38000000000000017,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
baseline,0.3900000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.4000000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.4100000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.4200000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.4300000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.4400000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.45000000000000023,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.46000000000000024,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.47000000000000025,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.48000000000000026,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
