column,table,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
billed_no_show_count,mode_summary_base,215.0,1.8186046511627907,3.001499299334168,0.0,0.0,0.0,0.0,0.0,3.0,8.0,12.859999999999985,15.0
non_billable_no_show_count,mode_summary_base,215.0,0.8837209302325582,2.1070564834763874,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,12.0
order_count,payer_summary_base,1499.0,5.394929953302201,10.319146315757491,1.0,1.0,1.0,2.0,2.0,4.0,22.0,64.0,92.0
sum_order_price,payer_summary_base,1499.0,289.2603869246164,576.8485609856357,0.0,0.0,0.0,0.0,113.0,273.76,1470.8479999999984,2815.916199999999,7624.0
sum_order_mileage,payer_summary_base,1499.0,82.71908605737158,231.47975159228992,0.16,1.0,2.6730000000000005,10.0,21.880000000000003,52.215,352.9999999999991,1493.8883999999991,2399.0
sum_kent_legs,payer_summary_base,1499.0,7.217871596937642,16.444109316282102,1.0,1.0,1.0,2.0,2.0,5.335714285714285,30.51552380952378,102.76445714285714,153.76190476190473
completed_count,payer_summary_base,1499.0,2.8338892595063374,6.554161654786534,0.0,0.0,0.0,0.0,0.0,2.0,12.0,36.01999999999998,64.0
billed_no_show_count,payer_summary_base,1499.0,0.2608405603735824,0.7239058042410201,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0
non_billable_no_show_count,payer_summary_base,1499.0,0.12675116744496331,0.730746311898625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0
ambulatory_avg_price_per_trip,prospective_intake_base,8.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
wheelchair_avg_price_per_trip,prospective_intake_base,8.0,84.0,0.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
stretcher_alt_avg_price_per_trip,prospective_intake_base,8.0,225.0,0.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0
securecare_avg_price_per_trip,prospective_intake_base,8.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
other_mode_avg_price_per_trip,prospective_intake_base,0.0,,,,,,,,,,,
other_mode_description,prospective_intake_base,0.0,,,,,,,,,,,
source_row,prospective_intake_base,8.0,9.5,2.449489742783178,6.0,6.07,6.35,7.75,9.5,11.25,12.649999999999999,12.93,13.0
row_id,prospective_intake_base,8.0,4.5,2.449489742783178,1.0,1.07,1.35,2.75,4.5,6.25,7.6499999999999995,7.93,8.0
pickup_zone_zip,prospective_intake_base,8.0,49503.0,0.0,49503.0,49503.0,49503.0,49503.0,49503.0,49503.0,49503.0,49503.0,49503.0
avg_one_way_miles,prospective_intake_base,8.0,12.375,3.9256482631170977,7.0,7.14,7.7,9.75,12.0,14.5,17.95,18.79,19.0
completed_trips_week,prospective_intake_base,8.0,11.375,7.029275516418053,4.0,4.07,4.35,5.75,10.0,15.0,21.9,23.58,24.0
billable_no_shows_week,prospective_intake_base,8.0,1.125,1.1259916264596033,0.0,0.0,0.0,0.0,1.0,2.0,2.6499999999999995,2.9299999999999997,3.0
non_billable_no_shows_week,prospective_intake_base,8.0,0.625,0.5175491695067657,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
mon,prospective_intake_base,8.0,1.75,1.2817398889233114,0.0,0.07,0.35000000000000003,1.0,1.5,2.25,3.6499999999999995,3.9299999999999997,4.0
tue,prospective_intake_base,8.0,2.125,1.3562026818605375,1.0,1.0,1.0,1.0,1.5,3.25,4.0,4.0,4.0
wed,prospective_intake_base,8.0,2.25,1.4880476182856899,0.0,0.07,0.35000000000000003,1.0,2.5,3.25,4.0,4.0,4.0
thu,prospective_intake_base,8.0,2.0,1.1952286093343936,1.0,1.0,1.0,1.0,1.5,3.0,3.6499999999999995,3.9299999999999997,4.0
fri,prospective_intake_base,8.0,2.375,1.3024701806293193,1.0,1.0,1.0,1.0,2.5,3.25,4.0,4.0,4.0
sat,prospective_intake_base,8.0,0.5,0.7559289460184544,0.0,0.0,0.0,0.0,0.0,1.0,1.6499999999999995,1.9299999999999997,2.0
